Expt,Plate,Well,Strain,Rep,EvoTemp,AssayTemp,EvoLight,AssayLight,TargetOchConc,VolOch,VolK,VolPredFSW,D1Date,Pred,,D1OchPop,D2OchPop,D3OchPop,D4OchPop,,D1PredPop,D2PredPop,D3PredPop,D4PredPop,,ScopeCounter,,D1FSC,D2FSC,D3FSC,D4FSC,,D1RedF,D2RedF,D3RedF,D4RedF,,OchGrowthRate,OchCntrlGrowthRate,GrazingRate,MeanOch,OchCellsEaten,MeanOmarina,OchperOmarinaperday,OmarinaGrowthRate,Notes
1,4,A2,1393,D,30,18,100,50,25000,0.6,2.9,1.5,6/14/22,Control,,27083.6089,25977.6925,29469.6177,28135.1722,,0,0,0,0,,MH,,10569.1931,10387.8832,9505.30282,9547.85889,,6539.19263,6081.84308,5672.01414,5570.17019,,0.012697255,,,,,,,,
1,4,B1,1393,D,30,18,100,50,50000,1.1,2.4,1.5,6/14/22,Control,,47439.1809,46901.6422,49002.5356,55333.4986,,0,0,0,0,,MH,,10380.9873,10385.9937,9831.41945,9481.21467,,6302.92755,6154.38483,5806.64977,5795.57206,,0.051309999,,,,,,,,
1,4,B2,1393,D,30,18,100,50,75000,1.7,1.8,1.5,6/14/22,Control,,78588.3743,75577.228,78728.0454,77848.6074,,0,0,0,0,,MH,,10209.4974,10141.7018,9702.7199,9721.83849,,6496.57804,6168.76671,5824.03611,5883.19886,,-0.00315259,,,,,,,,
1,4,C1,1393,D,30,18,100,50,100000,2.2,1.3,1.5,6/14/22,Control,,100858.827,97905.0539,100159.169,102800.818,,0,0,0,0,,MH,,10238.6932,10139.9092,9557.05884,9395.61716,,6375.45857,6309.74924,5706.01988,5847.36851,,0.006357175,,,,,,,,
1,4,C2,1393,D,30,18,100,50,125000,2.8,0.7,1.5,6/14/22,Control,,133979.643,131729.855,132275.263,132341.712,,0,0,0,0,,MH,,9883.09842,9839.99854,9384.64635,9281.26532,,6482.92456,6219.13896,5867.27334,5828.61447,,-0.004100189,,,,,,,,
1,4,A3,1393,D,30,18,100,50,0,0,3.5,1.5,6/14/22,O.marina,,141.945994,113.577237,170.367537,170.377008,,2190,1760,1670,1470,,MH,,8373.02642,6274.13382,8643.20855,8709.86337,,3183.31678,1022.98531,3304.66143,2804.19125,,0,0,0,155.729194,0,1806.144762,0,-0.132879714,
1,4,A4,1393,D,30,18,100,50,25000,0.6,2.9,1.5,6/14/22,O.marina,,25949.6676,13515.3289,7183.56361,4486.55149,,1970,1670,1560,1480,,MH,,11375.4057,11147.4474,10803.3863,10532.6109,,6039.77067,6378.20655,5589.5968,5543.62088,,-0.585024812,0.012697255,0.597722067,12229.17711,7309.649021,1713.337904,4.266320733,-0.095330485,
1,4,B3,1393,D,30,18,100,50,50000,1.1,2.4,1.5,6/14/22,O.marina,,49656.4628,33817.6699,21693.038,17520.1538,,1870,1620,1600,1720,,MH,,10876.6031,10710.4902,10483.2365,10619.817,,6200.07433,6241.42439,6134.0317,6325.37606,,-0.347258895,0.051309999,0.398568894,30847.59859,12294.89326,1793.954945,6.853512847,-0.02787138,
1,4,B4,1393,D,30,18,100,50,75000,1.7,1.8,1.5,6/14/22,O.marina,,74190.3107,54771.5406,38929.0921,33507.7145,,2210,1810,1810,1220,,MH,,10512.4931,10355.6303,10277.41,10436.0222,,6292.01852,6253.38756,5969.31881,6279.91451,,-0.264952621,-0.00315259,0.261800031,51182.22784,13399.50884,1666.269296,8.041622607,-0.198047219,
1,4,C3,1393,D,30,18,100,50,100000,2.2,1.3,1.5,6/14/22,O.marina,,101139.301,80639.747,63576.365,55317.6862,,1860,1570,1540,1720,,MH,,10296.9148,10276.1602,10166.1408,10044.6697,,6366.98867,6221.39082,6070.16644,6329.74573,,-0.201135368,0.006357175,0.207492543,75938.26857,15756.62443,1789.087151,8.807074837,-0.026084066,
1,4,C4,1393,D,30,18,100,50,125000,2.8,0.7,1.5,6/14/22,O.marina,,127682.274,106483.339,85075.0872,72758.9275,,2120,2000,1980,1540,,MH,,10015.5719,10212.4551,10005.5933,9813.97827,,6295.82398,6202.74922,6072.24297,6012.0069,,-0.187464444,-0.004100189,0.183364255,97660.02463,17907.35765,1814.577281,9.868611184,-0.106544557,
1,5,A1,1393,E,30,18,100,50,0,0,3.5,1.5,6/14/22,Control,,113.549524,85.1621188,0,28.3898315,,0,0,0,0,,MH,,5672.44965,4609.81581,0,19141.5533,,3983.01752,3495.03323,0,7316.46742,,0,,,,,,,,
1,5,A2,1393,E,30,18,100,50,25000,0.7,2.8,1.5,6/14/22,Control,,31228.6737,29897.2505,30691.3732,32736.2277,,0,0,0,0,,MH,,8668.82033,8695.73639,8686.29496,8510.86321,,8353.02338,7885.14115,8122.13931,8445.06768,,0.015715215,,,,,,,,
1,5,B1,1393,E,30,18,100,50,50000,1.3,2.2,1.5,6/14/22,Control,,57292.8457,56984.3397,58401.821,62549.7158,,0,0,0,0,,MH,,8607.63624,8438.90445,8471.18115,8537.5126,,8234.46579,8352.20126,8290.11557,8398.46212,,0.029261978,,,,,,,,
1,5,B2,1393,E,30,18,100,50,75000,1.9,1.6,1.5,6/14/22,Control,,84521.0109,81061.6815,82280.1844,87658.1541,,0,0,0,0,,MH,,8448.00996,8375.67394,8385.28408,8598.78107,,8244.84858,8525.21049,8223.70411,8520.89855,,0.012148161,,,,,,,,
1,5,C1,1393,E,30,18,100,50,100000,2.5,1,1.5,6/14/22,Control,,113934.396,107600.042,112228.081,113261.026,,0,0,0,0,,MH,,8378.95617,8292.32866,8213.33881,8400.07368,,8263.30277,8358.19033,8263.73584,8409.48394,,-0.001975897,,,,,,,,
